,Date and Time,Description,data,column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
65627,Jun 03 07:07:35,"Received: $GNGNS,013735.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7D","GNGNS,013735.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013735.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65643,Jun 03 07:07:36,"Received: $GNGNS,013736.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7E","GNGNS,013736.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013736.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65661,Jun 03 07:07:37,"Received: $GNGNS,013737.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7F","GNGNS,013737.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013737.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65677,Jun 03 07:07:38,"Received: $GNGNS,013738.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*70","GNGNS,013738.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013738.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65693,Jun 03 07:07:39,"Received: $GNGNS,013739.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*71","GNGNS,013739.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013739.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65709,Jun 03 07:07:40,"Received: $GNGNS,013740.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7F","GNGNS,013740.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013740.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65725,Jun 03 07:07:41,"Received: $GNGNS,013741.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7E","GNGNS,013741.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013741.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65741,Jun 03 07:07:42,"Received: $GNGNS,013742.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7D","GNGNS,013742.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013742.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65757,Jun 03 07:07:43,"Received: $GNGNS,013743.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7C","GNGNS,013743.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013743.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65773,Jun 03 07:07:44,"Received: $GNGNS,013744.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7B","GNGNS,013744.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013744.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65789,Jun 03 07:07:45,"Received: $GNGNS,013745.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7A","GNGNS,013745.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013745.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65805,Jun 03 07:07:46,"Received: $GNGNS,013746.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*79","GNGNS,013746.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013746.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65823,Jun 03 07:07:47,"Received: $GNGNS,013747.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*78","GNGNS,013747.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013747.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65839,Jun 03 07:07:48,"Received: $GNGNS,013748.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*77","GNGNS,013748.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013748.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65855,Jun 03 07:07:49,"Received: $GNGNS,013749.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*76","GNGNS,013749.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013749.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65871,Jun 03 07:07:50,"Received: $GNGNS,013750.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7E","GNGNS,013750.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013750.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65887,Jun 03 07:07:51,"Received: $GNGNS,013751.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7F","GNGNS,013751.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013751.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65903,Jun 03 07:07:52,"Received: $GNGNS,013752.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7C","GNGNS,013752.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013752.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65919,Jun 03 07:07:53,"Received: $GNGNS,013753.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7D","GNGNS,013753.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013753.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65935,Jun 03 07:07:54,"Received: $GNGNS,013754.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7A","GNGNS,013754.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013754.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65951,Jun 03 07:07:55,"Received: $GNGNS,013755.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*7B","GNGNS,013755.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013755.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65967,Jun 03 07:07:56,"Received: $GNGNS,013756.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*78","GNGNS,013756.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013756.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
65985,Jun 03 07:07:57,"Received: $GNGNS,013757.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*79","GNGNS,013757.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013757.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66001,Jun 03 07:07:58,"Received: $GNGNS,013758.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*76","GNGNS,013758.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013758.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66017,Jun 03 07:07:59,"Received: $GNGNS,013759.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*77","GNGNS,013759.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013759.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66033,Jun 03 07:08:00,"Received: $GNGNS,013800.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*74","GNGNS,013800.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013800.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
66049,Jun 03 07:08:01,"Received: $GNGNS,013801.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V*75","GNGNS,013801.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,,,V",GNGNS,013801.000,1256.5957,N,07741.5337,E,ANA,17,0.8,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
